"","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre"
"109",108,18.24,12,"The Big Short: Inside the Doomsday Machine",5893,4.7,"Michael Lewis","Hardcover",2010,"Non Fiction"
"110",109,11.57,13,"Food Rules: An Eater's Manual",2494,4.5,"Michael Pollan","Paperback",2010,"Non Fiction"
"111",110,14.54,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Hardcover",2010,"Non Fiction"
"112",111,9.03,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",3296,4.6,"Charlaine Harris","Hardcover",2010,"Fiction"
"113",112,14.99,16,"Sh*t My Dad Says",1781,4.7,"Justin Halpern","Hardcover",2010,"Non Fiction"
"114",113,16.48,17,"Crazy Love: Overwhelmed by a Relentless God",1920,4.7,"Francis Chan","Paperback",2010,"Non Fiction"
"115",114,10.59,18,"The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga)",6165,4.7,"Stephenie Meyer","Hardcover",2010,"Fiction"
"116",115,13.8,19,"Life",4699,4.6,"Keith Richards","Hardcover",2010,"Non Fiction"
"117",116,12,20,"Cutting for Stone",6790,4.6,"Abraham Verghese","Paperback",2010,"Fiction"
"118",117,12.89,21,"The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race",576,4.5,"Jon Stewart","Hardcover",2010,"Non Fiction"
"119",118,41,22,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2010,"Non Fiction"
"120",119,7.92,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",1358,4.5,"John Heilemann","Hardcover",2010,"Non Fiction"
"121",120,14.19,24,"The Immortal Life of Henrietta Lacks",16936,4.7,"Rebecca Skloot","Hardcover",2010,"Non Fiction"
"122",121,14.53,25,"The Lost Hero (Heroes of Olympus, Book 1)",11549,4.8,"Rick Riordan","Hardcover",2010,"Fiction"
"123",122,22.99,26,"Teach Like a Champion: 49 Techniques that Put Students on the Path to College",860,4.5,"Doug Lemov","Paperback",2010,"Non Fiction"
"124",123,16.04,27,"Outliers: The Story of Success",22209,4.7,"Malcolm Gladwell","Hardcover",2010,"Non Fiction"
"125",124,9.49,28,"Catching Fire (The Hunger Games)",32459,4.7,"Suzanne Collins","Hardcover",2010,"Fiction"
"126",125,20.72,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296,4.6,"Patrick Lencioni","Hardcover",2010,"Non Fiction"
"127",126,16.5,30,"Good to Great: Why Some Companies Make the Leap and Others Don't",5803,4.5,"Jim Collins","Hardcover",2010,"Non Fiction"
"128",127,11.49,31,"Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time",3497,4.4,"Greg Mortenson","Paperback",2010,"Non Fiction"
"129",128,17,32,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",2406,4.7,"F. A. Hayek","Paperback",2010,"Non Fiction"
"130",129,9.35,33,"The Confession: A Novel",7914,4.4,"John Grisham","Hardcover",2010,"Fiction"
"131",130,16.97,34,"Delivering Happiness: A Path to Profits, Passion, and Purpose",3242,4.6,"Tony Hsieh","Hardcover",2010,"Non Fiction"
"132",131,44.5,35,"A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror",577,4.7,"Larry Schweikart","Paperback",2010,"Non Fiction"
"133",132,10.44,36,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",14955,4.8,"Rick Riordan","Hardcover",2010,"Fiction"
"134",133,16.99,37,"Switch: How to Change Things When Change Is Hard",3912,4.6,"Chip Heath","Hardcover",2010,"Non Fiction"
"135",134,9.8,38,"The Art of Racing in the Rain: A Novel",16418,4.7,"Garth Stein","Paperback",2010,"Fiction"
"136",135,23.99,39,"The 5 Love Languages: The Secret to Love That Lasts",7012,4.7,"Gary Chapman","Paperback",2010,"Non Fiction"
"137",136,9.07,40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",531,4.5,"Glenn Beck","Hardcover",2010,"Non Fiction"
