"","...1","price","ranks","title","no_of_copies_sold","ratings","author","cover_type","year","genre"
"611",610,5,19,"Dear Zoo: A Lift-the-Flap Book",26368,4.8,"Rod Campbell","Board book",2015,"Fiction"
"612",611,9.19,20,"The Day the Crayons Quit",19898,4.8,"Drew Daywalt","Hardcover",2015,"Fiction"
"613",612,14.03,21,"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics",31128,4.8,"Daniel James Brown","Paperback",2015,"Non Fiction"
"614",613,7.53,22,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2015,"Non Fiction"
"615",614,8.55,23,"Mindset: The New Psychology of Success",13911,4.6,"Carol S. Dweck","Paperback",2015,"Non Fiction"
"616",615,12.76,24,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",37799,4.5,"E L James","Paperback",2015,"Fiction"
"617",616,5.99,25,"Creative Haven Creative Cats Coloring Book (Adult Coloring)",5114,4.8,"Marjorie Sarnat","Paperback",2015,"Non Fiction"
"618",617,10.5,26,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2015,"Non Fiction"
"619",618,7.57,27,"The 5 Love Languages: The Secret to Love that Lasts",69866,4.8,"Gary Chapman","Paperback",2015,"Non Fiction"
"620",619,11.95,28,"Balance (Angie's  Extreme Stress Menders)",2270,4.6,"Angie Grace","Paperback",2015,"Non Fiction"
"621",620,5.38,29,"Creative Haven Owls Coloring Book (Adult Coloring)",5205,4.7,"Marjorie Sarnat","Paperback",2015,"Non Fiction"
"622",621,25.99,30,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",14418,4.6,"Thug Kitchen","Hardcover",2015,"Non Fiction"
"623",622,6.9,31,"Giraffes Can't Dance",28447,4.8,"Giles Andreae","Board book",2015,"Fiction"
"624",623,9.67,32,"Wonder",35698,4.8,"R. J. Palacio","Hardcover",2015,"Fiction"
"625",624,17.99,33,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",9187,4.7,"Stephen R. Covey","Paperback",2015,"Non Fiction"
"626",625,7.74,34,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",86676,4.7,"Don Miguel Ruiz","Paperback",2015,"Non Fiction"
"627",626,16,35,"Being Mortal: Medicine and What Matters in the End",19284,4.8,"Atul Gawande","Hardcover",2015,"Non Fiction"
"628",627,4.98,36,"Love You Forever",53161,4.9,"Robert Munsch","Paperback",2015,"Fiction"
"629",628,4.93,37,"The Very Hungry Caterpillar",54008,4.9,"Eric Carle","Board book",2015,"Fiction"
"630",629,24.29,38,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2015,"Non Fiction"
"631",630,12.92,39,"Between the World and Me",20038,4.7,"Ta-Nehisi Coates","Hardcover",2015,"Non Fiction"
"632",631,5.67,40,"Baby Touch and Feel: Animals",10680,4.7,"DK","Board book",2015,"Non Fiction"
"633",632,9.9,41,"The Book with No Pictures",16882,4.8,"B. J. Novak","Hardcover",2015,"Fiction"
"634",633,14.5,42,"The Wright Brothers",7924,4.7,"David McCullough","Hardcover",2015,"Non Fiction"
"635",634,5.38,43,"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)",2601,4.6,"Marty Noble","Paperback",2015,"Non Fiction"
"636",635,16.26,44,"The Nightingale: A Novel",99932,4.8,"Kristin Hannah","Hardcover",2015,"Fiction"
"637",636,14.44,45,"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve Supper",8083,4.8,"Ree Drummond","Hardcover",2015,"Non Fiction"
"638",637,8.73,46,"What Pet Should I Get? (Classic Seuss)",6169,4.8,"Dr. Seuss","Hardcover",2015,"Fiction"
"639",638,19.39,47,"Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)",6646,4.7,"Bill O'Reilly","Hardcover",2015,"Non Fiction"
"640",639,14.39,48,"Harry Potter Coloring Book",10136,4.8,"Scholastic","Paperback",2015,"Non Fiction"
"641",640,9.99,49,"American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History",19371,4.6,"Chris Kyle","Paperback",2015,"Non Fiction"
"642",641,14.68,50,"The Whole30: The 30-Day Guide to Total Health and Food Freedom",15554,4.6,"Melissa Hartwig Urban","Hardcover",2015,"Non Fiction"
"643",642,5.71,51,"Diary of a Minecraft Zombie Book 1: A Scare of A Dare",12855,4.7,"Zack Zombie","Paperback",2015,"Fiction"
"644",643,6.79,52,"The Great Gatsby: The Only Authorized Edition",18656,4.5,"F. Scott Fitzgerald","Paperback",2015,"Fiction"
"645",644,14.95,53,"Lost Ocean: An Inky Adventure and Coloring Book for Adults",8066,4.7,"Johanna Basford","Paperback",2015,"Non Fiction"
"646",645,20.72,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296,4.6,"Patrick Lencioni","Hardcover",2015,"Non Fiction"
"647",646,41,55,"The Official SAT Study Guide",1526,4.4,"The College Board","Paperback",2015,"Non Fiction"
"648",647,9.05,56,"10-Day Green Smoothie Cleanse",32825,4.7,"JJ Smith","Paperback",2015,"Non Fiction"
"649",648,6.92,57,"The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are",29674,4.7,"Brené Brown","Paperback",2015,"Non Fiction"
"650",649,4.59,58,"Chicka Chicka Boom Boom (Board Book)",33598,4.9,"Bill Martin Jr.","Board book",2015,"Fiction"
"651",650,13.64,59,"The Day the Crayons Came Home",5389,4.9,"Drew Daywalt","Hardcover",2015,"Fiction"
"652",651,13.3,60,"What If?: Serious Scientific Answers to Absurd Hypothetical Questions",18840,4.7,"Randall Munroe","Hardcover",2015,"Non Fiction"
"653",652,7.68,61,"Paper Towns",10316,4.4,"John Green","Paperback",2015,"Fiction"
"654",653,12.79,62,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",33629,4.8,"Laura Hillenbrand","Paperback",2015,"Non Fiction"
"655",654,12,63,"Get What's Yours: The Secrets to Maxing Out Your Social Security (The Get What's Yours Series)",3094,4.2,"Laurence J. Kotlikoff","Hardcover",2015,"Non Fiction"
"656",655,11.46,64,"Magnus Chase and the Gods of Asgard, Book 1: The Sword of Summer (Magnus Chase and the Gods of Asgard, 1)",7465,4.7,"Rick Riordan","Hardcover",2015,"Fiction"
"657",656,8.95,65,"Dragons Love Tacos",15753,4.8,"Adam Rubin","Hardcover",2015,"Fiction"
"658",657,8.29,66,"Fahrenheit 451",34955,4.6,"Ray Bradbury","Paperback",2015,"Fiction"
"659",658,9.48,67,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552,4.8,"Valorie Schaefer","Paperback",2015,"Non Fiction"
"660",659,7.99,68,"Potty (Leslie Patricelli board books)",12933,4.7,"Leslie Patricelli","Board book",2015,"Fiction"
"661",660,22.49,69,"Thing Explainer: Complicated Stuff in Simple Words",3834,4.6,"Randall Munroe","Hardcover",2015,"Non Fiction"
"662",661,19.71,70,"Dead Wake: The Last Crossing of the Lusitania",11006,4.6,"Erik Larson","Hardcover",2015,"Non Fiction"
"663",662,3.97,71,"The Going-To-Bed Book",15393,4.8,"Sandra Boynton","Board book",2015,"Fiction"
"664",663,12.88,72,"Inspiralized: Turn Vegetables into Healthy, Creative, Satisfying Meals: A Cookbook",3754,4.4,"Ali Maffucci","Paperback",2015,"Non Fiction"
"665",664,3.99,73,"Mystical Mandala Coloring Book (Dover Mandala Coloring Books)",2944,4.5,"Alberta Hutchinson","Paperback",2015,"Non Fiction"
"666",665,144,74,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",12114,4.7,"American Psychiatric Association","Paperback",2015,"Non Fiction"
"667",666,6.99,75,"Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers",4838,4.6,"DK","Paperback",2015,"Fiction"
"668",667,12.74,76,"The 20/20 Diet: Turn Your Weight Loss Vision Into Reality",8313,4,"Phil McGraw","Hardcover",2015,"Non Fiction"
"669",668,5.49,77,"Night (Night)",8573,4.7,"Elie Wiesel","Paperback",2015,"Non Fiction"
"670",669,18,78,"What to Expect When You're Expecting",29389,4.8,"Heidi Murkoff","Paperback",2015,"Non Fiction"
"671",670,15.79,79,"The Jesus Storybook Bible: Every Story Whispers His Name",11859,4.9,"Sally Lloyd-Jones","Hardcover",2015,"Non Fiction"
"672",671,12.99,80,"The Road to Character",3074,4.4,"David Brooks","Hardcover",2015,"Non Fiction"
"673",672,4.98,81,"Where Is Baby's Belly Button? A Lift-the-Flap Book",12738,4.8,"Karen Katz","Board book",2015,"Non Fiction"
"674",673,13.29,82,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750,4.7,"Paulo Coelho","Paperback",2015,"Fiction"
"675",674,13.95,83,"Guess How Much I Love You",5890,4.8,"Sam McBratney","Board book",2015,"Fiction"
"676",675,9.99,84,"Creative Coloring Inspirations: Art Activity Pages to Relax and Enjoy! (Design Originals) 30 Motivating & Creative Art Activities on High-Quality, Extra-Thick Perforated Pages that Won't Bleed Through",1797,4.7,"Valentina Harper","Paperback",2015,"Non Fiction"
"677",676,9.99,85,"Little Blue Truck",1958,4.9,"Alice Schertle","Board book",2015,"Fiction"
"678",677,9.49,86,"The Outsiders",30584,4.8,"S. E. Hinton","Paperback",2015,"Fiction"
"679",678,11.29,87,"Thinking, Fast and Slow",29732,4.6,"Daniel Kahneman","Paperback",2015,"Non Fiction"
"680",679,7.5,88,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",6281,4.6,"Tom Robinson","Paperback",2015,"Non Fiction"
"681",680,7.48,89,"George Orwell",72441,4.7,"George Orwell","Mass Market Paperback",2015,"Fiction"
"682",681,20.97,90,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",9891,4.7,"Kerry Patterson","Paperback",2015,"Non Fiction"
"683",682,14.98,91,"Emotional Intelligence 2.0",10429,4.5,"Travis Bradberry","Hardcover",2015,"Fiction"
"684",683,10.4,92,"For the Love: Fighting for Grace in a World of Impossible Standards",1862,4.6,"Jen Hatmaker","Hardcover",2015,"Non Fiction"
"685",684,13.48,93,"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book) (Press Here by Herve Tullet)",13598,4.8,"Herve Tullet","Hardcover",2015,"Non Fiction"
"686",685,8.22,94,"Little Blue Truck board book",8204,4.9,"Alice Schertle","Board book",2015,"Non Fiction"
"687",686,4.55,95,"Brown Bear, Brown Bear, What Do You See?",47193,4.9,"Bill Martin Jr.","Board book",2015,"Fiction"
"688",687,6.78,96,"A Long Walk to Water: Based on a True Story",16131,4.7,"Linda Sue Park","Paperback",2015,"Fiction"
"689",688,25.64,97,"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons",33321,4.7,"George R. R. Martin","Mass Market Paperback",2015,"Fiction"
"690",689,13.32,98,"Rogue Lawyer: A Novel",17686,4.2,"John Grisham","Hardcover",2015,"Fiction"
"691",690,4.72,99,"Detailed Designs and Beautiful Patterns (Sacred Mandala Designs and Patterns Coloring Books for Adults)",1060,4.5,"Lilt Kids Coloring Books","Paperback",2015,"Non Fiction"
"692",691,5.99,100,"Lord of the Flies",31815,4.6,"William Golding","Mass Market Paperback",2015,"Fiction"
"693",692,11.46,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",43339,4.3,"J.K. Rowling","Hardcover",2016,"Fiction"
"694",693,18.29,2,"StrengthsFinder 2.0",7082,4.1,"Gallup","Hardcover",2016,"Non Fiction"
"695",694,4.78,3,"First 100 Words: A Padded Board Book",35236,4.7,"Roger Priddy","Board book",2016,"Non Fiction"
"696",695,8.32,4,"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing",28111,4.5,"Marie Kondō","Hardcover",2016,"Non Fiction"
"697",696,8.48,5,"Oh, the Places You'll Go!",42848,4.9,"Dr. Seuss","Hardcover",2016,"Fiction"
"698",697,14.25,6,"Diary of a Wimpy Kid #11: Double Down",14027,4.8,"Jeff Kinney","Hardcover",2016,"Fiction"
"699",698,12.77,7,"When Breath Becomes Air",29336,4.8,"Paul Kalanithi","Hardcover",2016,"Non Fiction"
"700",699,6.9,8,"Giraffes Can't Dance",28447,4.8,"Giles Andreae","Board book",2016,"Fiction"
"701",700,7.57,9,"The 5 Love Languages: The Secret to Love that Lasts",69866,4.8,"Gary Chapman","Paperback",2016,"Non Fiction"
"702",701,14.68,10,"The Whole30: The 30-Day Guide to Total Health and Food Freedom",15544,4.6,"Melissa Hartwig Urban","Hardcover",2016,"Non Fiction"
"703",702,7.63,11,"A Man Called Ove: A Novel",56988,4.7,"Fredrik Backman","Paperback",2016,"Fiction"
"704",703,11.7,12,"Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)",11308,4.8,"Bill O'Reilly","Hardcover",2016,"Non Fiction"
"705",704,10.5,13,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2016,"Non Fiction"
"706",705,12.07,14,"The Magnolia Story",10133,4.8,"Chip Gaines","Hardcover",2016,"Non Fiction"
"707",706,4.99,15,"Laugh-Out-Loud Jokes for Kids",10751,4.6,"Rob Elliott","Paperback",2016,"Non Fiction"
"708",707,17.36,16,"To Kill a Mockingbird",68842,4.8,"Harper Lee","Mass Market Paperback",2016,"Fiction"
"709",708,12.45,17,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis",29400,4.5,"J. D. Vance","Hardcover",2016,"Non Fiction"
"710",709,13.4,18,"Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter)",9202,4.7,"J.K. Rowling","Hardcover",2016,"Fiction"
"711",710,23.69,19,"Hamilton: The Revolution",13105,4.9,"Lin-Manuel Miranda","Hardcover",2016,"Non Fiction"
"712",711,10.33,20,"The Girl on the Train",91515,4.1,"Paula Hawkins","Paperback",2016,"Fiction"
"713",712,8.55,21,"Mindset: The New Psychology of Success",13911,4.6,"Carol S. Dweck","Paperback",2016,"Non Fiction"
"714",713,9.09,22,"The Official SAT Study Guide, 2016 Edition",1089,4.4,"The College Board","Paperback",2016,"Non Fiction"
"715",714,8.99,23,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns Paperback",3113,4.5,"Adult Coloring Book Designs","Paperback",2016,"unknown"
"716",715,7.74,24,"The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book)",86676,4.7,"Don Miguel Ruiz","Paperback",2016,"Non Fiction"
"717",716,7.38,25,"Milk and Honey",46407,4.7,"Rupi Kaur","Paperback",2016,"Non Fiction"
"718",717,3.97,26,"The Going-To-Bed Book",15393,4.8,"Sandra Boynton","Board book",2016,"Fiction"
"719",718,15.2,27,"Born to Run",5515,4.7,"Bruce Springsteen","Hardcover",2016,"Non Fiction"
"720",719,9.94,28,"Alexander Hamilton",19082,4.8,"Ron Chernow","Paperback",2016,"Non Fiction"
"721",720,4.93,29,"The Very Hungry Caterpillar",54008,4.9,"Eric Carle","Board book",2016,"Fiction"
"722",721,17.99,30,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change",9187,4.7,"Stephen R. Covey","Paperback",2016,"Non Fiction"
"723",722,1.5,31,"The Constitution of the United States",5802,4.9,"Delegates of the Constitutional Convention","Pamphlet",2016,"Non Fiction"
"724",723,9.67,32,"Wonder",35698,4.8,"R. J. Palacio","Hardcover",2016,"Fiction"
"725",724,8.55,33,"The Wonderful Things You Will Be",25148,4.9,"Emily Winfield Martin","Hardcover",2016,"Fiction"
"726",725,8.45,34,"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life",35414,4.7,"Jen Sincero","Paperback",2016,"Non Fiction"
"727",726,25.99,35,"Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks)",14418,4.6,"Thug Kitchen","Hardcover",2016,"Non Fiction"
"728",727,33.9,36,"PokÃ©mon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 PokÃ©mon",5158,4.7,"Scholastic","Paperback",2016,"Fiction"
"729",728,24.29,37,"Publication Manual of the American Psychological Association, 6th Edition",12674,4.5,"American Psychological Association","Paperback",2016,"Non Fiction"
"730",729,14.42,38,"Cravings: Recipes for All the Food You Want to Eat: A Cookbook",10707,4.7,"Chrissy Teigen","Hardcover",2016,"Non Fiction"
"731",730,12.92,39,"Between the World and Me",20038,4.7,"Ta-Nehisi Coates","Hardcover",2016,"Non Fiction"
"732",731,4.99,40,"Calm the F*ck Down: An Irreverent Adult Coloring Book",21068,4.6,"Sasha O'Hara","Paperback",2016,"Non Fiction"
"733",732,5,41,"Dear Zoo: A Lift-the-Flap Book",26368,4.8,"Rod Campbell","Board book",2016,"Fiction"
"734",733,7.53,42,"Jesus Calling, Padded Hardcover, with Scripture references",31196,4.9,"Sarah Young","Hardcover",2016,"Fiction"
"735",734,5.49,43,"Night (Night)",8573,4.7,"Elie Wiesel","Paperback",2016,"Non Fiction"
"736",735,NA,NA,NA,NA,NA,NA,NA,2016,NA
"737",736,38.86,45,"Harry Potter Paperback Box Set (Books 1-7)",91629,4.9,"J. K. Rowling","Paperback",2016,"Fiction"
"738",737,21.99,46,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",21527,4.9,"J.K. Rowling","Hardcover",2016,"Fiction"
"739",738,9.05,47,"10-Day Green Smoothie Cleanse",32825,4.7,"JJ Smith","Paperback",2016,"Non Fiction"
"740",739,8.47,48,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",9505,4.7,"Lysa TerKeurst","Paperback",2016,"Non Fiction"
"741",740,16.26,49,"The Nightingale: A Novel",99932,4.8,"Kristin Hannah","Hardcover",2016,"Fiction"
"742",741,23.7,50,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated) (2)",13321,4.9,"J. K. Rowling","Hardcover",2016,"Fiction"
"743",742,8.29,51,"Fahrenheit 451",34955,4.6,"Ray Bradbury","Paperback",2016,"Fiction"
"744",743,4.98,52,"Love You Forever",53161,4.9,"Robert Munsch","Paperback",2016,"Fiction"
"745",744,6.79,53,"The Great Gatsby: The Only Authorized Edition",18656,4.5,"F. Scott Fitzgerald","Paperback",2016,"Fiction"
"746",745,20.72,54,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296,4.6,"Patrick Lencioni","Hardcover",2016,"Fiction"
"747",746,18.98,55,"All the Light We Cannot See",67291,4.6,"Anthony Doerr","Hardcover",2016,"Fiction"
"748",747,4.55,56,"Brown Bear, Brown Bear, What Do You See?",47193,4.9,"Bill Martin Jr.","Board book",2016,"Fiction"
"749",748,13.29,57,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750,4.7,"Paulo Coelho","Paperback",2016,"Fiction"
"750",749,11.89,58,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",10074,4.9,"Priscilla Shirer","Paperback",2016,"Non Fiction"
"751",750,24.5,59,"The Whistler",42265,4.4,"John Grisham","Hardcover",2016,"Fiction"
"752",751,4.14,60,"If Animals Kissed Good Night",69538,4.8,"Ann Whitford Paul","Board book",2016,"Fiction"
"753",752,15.9,61,"Cooking for Jeffrey: A Barefoot Contessa Cookbook",2405,4.7,"Ina Garten","Hardcover",2016,"Non Fiction"
"754",753,11.29,62,"The Trials of Apollo, Book 1: The Hidden Oracle (Trials of Apollo, 1)",9969,4.7,"Rick Riordan","Hardcover",2016,"Fiction"
"755",754,4.44,63,"Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids)",5687,4.5,"Rob Elliott","Paperback",2016,"Non Fiction"
"756",755,4.02,64,"Puppy Birthday to You! (Paw Patrol) (Little Golden Book)",12981,4.8,"Golden Books","Hardcover",2016,"Fiction"
"757",756,6.92,65,"The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are",29674,4.7,"Brené Brown","Paperback",2016,"Fiction"
"758",757,14,66,"Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate",7693,4.2,"Gary J. Byrne","Hardcover",2016,"Non Fiction"
"759",758,5.99,67,"First 100 Animals",9440,4.8,"Roger Priddy","Board book",2016,"Non Fiction"
"760",759,8.49,68,"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley Patterns",3138,4.5,"Coloring Books for Adults","Paperback",2016,"Non Fiction"
"761",760,5.36,69,"Goodnight Moon",24815,4.9,"Margaret Wise Brown","Board book",2016,"Fiction"
"762",761,9.87,70,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",11620,4.8,"Brené Brown","Paperback",2016,"Non Fiction"
"763",762,9.89,71,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children)",13221,4.5,"Ransom Riggs","Paperback",2016,"Fiction"
"764",763,13.63,72,"Grit: The Power of Passion and Perseverance",12517,4.6,"Angela Duckworth","Hardcover",2016,"Non Fiction"
"765",764,14.98,73,"Emotional Intelligence 2.0",10429,4.5,"Travis Bradberry","Hardcover",2016,"Fiction"
"766",765,13.5,74,"The Underground Railroad (Pulitzer Prize Winner) (National Book Award Winner) (Oprah's Book Club): A Novel",21293,4.5,"Colson Whitehead","Hardcover",2016,"Fiction"
"767",766,9.49,75,"The Outsiders",30584,4.8,"S. E. Hinton","Paperback",2016,"Fiction"
"768",767,27.99,76,"The Food Lab: Better Home Cooking Through Science",9022,4.9,"J. Kenji López-Alt","Hardcover",2016,"Non Fiction"
"769",768,18.98,77,"Me Before You: A Novel (Movie Tie-In)",1224,4.6,"Jojo Moyes","Paperback",2016,"Fiction"
"770",769,4.59,78,"Chicka Chicka Boom Boom (Board Book)",33589,4.9,"Bill Martin Jr.","Board book",2016,"Non Fiction"
"771",770,9.48,79,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552,4.8,"Valorie Schaefer","Paperback",2016,"Non Fiction"
"772",771,7.99,80,"Potty (Leslie Patricelli board books)",12933,4.7,"Leslie Patricelli","Board book",2016,"Fiction"
"773",772,20.06,81,"Tools Of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",7920,4.7,"Timothy Ferriss","Hardcover",2016,"Non Fiction"
"774",773,5.59,82,"First 100 Padded: Numbers, Colors, Shapes",7034,4.8,"Roger Priddy","Hardcover",2016,"Non Fiction"
"775",774,8.08,83,"Good Vibes Coloring Book (Coloring is Fun) (Design Originals): 30 Beginner-Friendly & Relaxing Creative Art Activities; Positive Messages & Inspirational Quotes; Perforated Paper Resists Bleed Through",7275,4.7,"Thaneeya McArdle","Paperback",2016,"Non Fiction"
"776",775,8.97,84,"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals",12578,4.4,"Laurel Randolph","Paperback",2016,"Non Fiction"
"777",776,9.99,85,"Quieting Your Heart: 6-Month Bible-Study Journal",1577,4.5,"Darlene Schacht","Paperback",2016,"Non Fiction"
"778",777,9.9,86,"The Book with No Pictures",16882,4.8,"B. J. Novak","Hardcover",2016,"Fiction"
"779",778,5.38,87,"Creative Haven Owls Coloring Book (Adult Coloring)",5205,4.7,"Marjorie Sarnat","Paperback",2016,"Non Fiction"
"780",779,9.09,88,"Magnus Chase and the Gods of Asgard, Book 2 The Hammer of Thor (Magnus Chase and the Gods of Asgard, Book 2) (Magnus Chase and the Gods of Asgard, 2)",6468,4.7,"Rick Riordan","Hardcover",2016,"Fiction"
"781",780,9.99,89,"Secret Garden: An Inky Treasure Hunt and Coloring Book for Adults",15022,4.7,"Johanna Basford","Paperback",2016,"Non Fiction"
"782",781,6.98,90,"Harry Potter and the Sorcerer's Stone",5120,4.8,"J.K. Rowling","Paperback",2016,"Fiction"
"783",782,8.95,91,"Dragons Love Tacos",15753,4.8,"Adam Rubin","Hardcover",2016,"Fiction"
"784",783,22.95,92,"D&D Player's Handbook (Dungeons & Dragons Core Rulebook)",45711,4.9,"Dungeons & Dragons","Hardcover",2016,"Fiction"
"785",784,7.5,93,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",6281,4.6,"Tom Robinson","Paperback",2016,"Non Fiction"
"786",785,7.48,94,"George Orwell",72441,4.7,"George Orwell","Mass Market Paperback",2016,"Fiction"
"787",786,8.48,95,"The Giver (Giver Quartet, 1)",26262,4.7,"Lois Lowry","Paperback",2016,"Fiction"
"788",787,NA,NA,NA,NA,NA,NA,NA,2016,"Fiction"
"789",788,11.29,97,"Thinking, Fast and Slow",29732,4.6,"Daniel Kahneman","Paperback",2016,"Non Fiction"
"790",789,8.22,98,"Little Blue Truck board book",8204,4.9,"Alice Schertle","Board book",2016,"Non Fiction"
"791",790,14.39,99,"Harry Potter Coloring Book",10136,4.8,"Scholastic","Paperback",2016,"Non Fiction"
"792",791,9.19,100,"The Day the Crayons Quit",19898,4.8,"Drew Daywalt","Hardcover",2016,"Fiction"
"793",792,9.67,1,"Wonder",35698,4.8,"R. J. Palacio","Hardcover",2017,"Fiction"
"794",793,7.38,2,"Milk and Honey",46407,4.7,"Rupi Kaur","Paperback",2017,"Non Fiction"
"795",794,6.9,3,"Giraffes Can't Dance",28447,4.8,"Giles Andreae","Board book",2017,"Fiction"
"796",795,14.35,4,"The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life",80328,4.6,"Mark Manson","Hardcover",2017,"Non Fiction"
"797",796,9.89,5,"The Getaway",17169,4.8,"Jeff Kinney","Hardcover",2017,"Fiction"
"798",797,8.97,6,"The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals",12578,4.4,"Laurel Randolph","Paperback",2017,"Non Fiction"
"799",798,12.45,7,"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis",29400,4.5,"J. D. Vance","Hardcover",2017,"Non Fiction"
"800",799,9.49,8,"Astrophysics for People in a Hurry",20795,4.7,"Neil deGrasse Tyson","Hardcover",2017,"Non Fiction"
"801",800,4.78,9,"First 100 Words: A Padded Board Book",35236,4.7,"Roger Priddy","Board book",2017,"Non Fiction"
"802",801,14.68,10,"The Whole30: The 30-Day Guide to Total Health and Food Freedom",15544,4.6,"Melissa Hartwig Urban","Hardcover",2017,"Non Fiction"
"803",802,14.35,11,"The Handmaid's Tale",60681,4.4,"Margaret Atwood","Paperback",2017,"Fiction"
"804",803,7.57,12,"The 5 Love Languages: The Secret to Love that Lasts",69866,4.8,"Gary Chapman","Paperback",2017,"Non Fiction"
"805",804,8.45,13,"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life",35414,4.7,"Jen Sincero","Paperback",2017,"Non Fiction"
"806",805,9.99,14,"What Happened",6911,4.6,"Hillary Rodham Clinton","Hardcover",2017,"Non Fiction"
"807",806,8.48,15,"Oh, the Places You'll Go!",42848,4.9,"Dr. Seuss","Hardcover",2017,"Fiction"
"808",807,11.58,16,"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World",29896,4.7,"Admiral William H. McRaven","Hardcover",2017,"Non Fiction"
"809",808,7.48,17,"George Orwell",72441,4.7,"George Orwell","Mass Market Paperback",2017,"Fiction"
"810",809,10.5,18,"How to Win Friends & Influence People",79094,4.7,"Dale Carnegie","Paperback",2017,"Non Fiction"
"811",810,13.39,19,"Origin: A Novel (Robert Langdon)",36238,4.4,"Dan Brown","Hardcover",2017,"Fiction"
"812",811,7.63,20,"A Man Called Ove: A Novel",56988,4.7,"Fredrik Backman","Paperback",2017,"Fiction"
