"","book_id","no_of_copies_sold","price","year"
"516",13435,16882,9.9,2014
"517",14829,5033,9.99,2014
"518",14157,7012,23.99,2014
"519",12953,5687,4.44,2014
"520",13982,1094,8.15,2014
"521",13363,12674,24.29,2014
"522",13163,1958,9.99,2014
"523",12321,2226,17.4,2014
"524",12060,35236,4.78,2014
"525",11107,9994,9.99,2014
"526",13544,33321,25.64,2014
"527",13573,19457,15.99,2014
"528",14091,4573,19.38,2014
"529",14886,25199,11.78,2014
"530",12925,13911,8.55,2014
"531",13057,79094,10.5,2014
"532",14561,54008,4.93,2014
"533",13733,67291,18.98,2014
"534",13589,7763,9.64,2014
"535",11283,33629,14.54,2014
"536",13848,14418,25.99,2014
"537",14706,3816,25,2014
"538",14069,16845,8.99,2014
"539",14924,18656,6.79,2014
"540",12916,31128,14.03,2014
"541",14529,53161,4.98,2014
"542",14382,15611,9.57,2014
"543",13324,24591,12.04,2014
"544",11463,5531,15.99,2014
"545",13428,6269,20.72,2014
"546",11914,86676,7.74,2014
"547",12997,9187,17.99,2014
"548",11645,2722,9.98,2014
"549",12591,1410,65,2014
"550",13655,1123,4.99,2014
"551",14957,9349,10.25,2014
"552",13497,29674,6.92,2014
"553",14462,3064,62.5,2014
"554",14082,17368,10.24,2014
"555",12453,6241,16.73,2014
"556",11628,4504,9.99,2014
"557",14094,26368,5,2014
"558",14722,15393,3.97,2014
"559",12989,7640,53.99,2014
"560",11932,804,10.71,2014
"561",13485,28293,16.21,2014
"562",13125,29389,18,2014
"563",13972,11859,15.79,2014
"564",13620,8182,16.2,2014
"565",12789,19656,19.3,2014
"566",14045,31815,5.99,2014
"567",14103,8573,5.49,2014
"568",11701,30926,8.99,2014
"569",12389,278,15.29,2014
"570",11851,24552,9.48,2014
"571",12973,8256,17.69,2014
"572",12040,34955,8.29,2014
"573",14785,20089,14.48,2014
"574",11225,10316,7.68,2014
"575",13123,6281,7.5,2014
"576",14707,72441,7.48,2014
"577",12680,30584,9.49,2014
"578",13182,10710,14.86,2014
"579",12586,24815,5.36,2014
"580",14422,20015,13.47,2014
"581",13878,11359,23.3,2014
"582",14001,28447,6.9,2014
"583",11281,842,18.23,2014
"584",11405,25434,9.99,2014
"585",12222,32825,25.75,2014
"586",14862,9891,20.97,2014
"587",12512,734,3.99,2014
"588",12164,26262,17.1,2014
"589",13457,33598,4.59,2014
"590",11261,3350,20,2014
"591",14835,867,18.68,2014
"592",11304,5803,16.5,2014
"593",11048,35236,4.78,2015
"594",12270,28111,8.32,2015
"595",13450,10751,4.99,2015
"596",11045,15022,9.99,2015
"597",11535,7082,18.29,2015
"598",13718,18592,15.83,2015
"599",12860,8106,12.15,2015
"600",12305,67291,18.98,2015
"601",14155,91515,14.24,2015
"602",12626,4253,6.91,2015
"603",13664,14243,8.78,2015
"604",13221,68842,17.36,2015
"605",13214,3924,7.99,2015
"606",14515,3138,8.49,2015
"607",13045,5061,16.12,2015
"608",12127,51405,10.41,2015
"609",12759,42848,8.48,2015
"610",13151,5687,4.44,2015
"611",12987,26368,5,2015
"612",11298,19898,9.19,2015
"613",12615,31128,14.03,2015
"614",13081,31196,7.53,2015
"615",12310,13911,8.55,2015
"616",12676,37799,12.76,2015
"617",11385,5114,5.99,2015
"618",14192,79094,10.5,2015
"619",14115,69866,7.57,2015
"620",12213,2270,11.95,2015
"621",11861,5205,5.38,2015
"622",11124,14418,25.99,2015
"623",12621,28447,6.9,2015
